region,province,avg_household_income,avg_household_debt,poverty_line_per_person_month,debt_to_income_months,est_household_poverty_line,income_above_poverty_line_ratio
ตะวันออก,จันทบุรี,50893.0,186030.5,3159.9857,3.655325879787004,9479.9571,5.368484209701751
ใต้,ภูเก็ต,38432.22222222222,219551.5,3368.6268,5.712693341813872,10105.8804,3.8029563680787493
กลาง,ปทุมธานี,37762.8,332043.0,3154.6891,8.792859639645364,9464.0673,3.990123781135834
ตะวันตก,ราชบุรี,36594.3,403315.3,3106.2368,11.021260141606751,9318.7104,3.9269704099829097
ตะวันออก,ชลบุรี,35092.142857142855,175357.1,3425.648,4.997047365100043,10276.944,3.414647667355476
ตะวันออก,ระยอง,34094.555555555555,135499.0,3513.9482,3.974212239816719,10541.8446,3.2342115492345194
กลาง,พระนครศรีอยุธยา,33765.8,152679.8,3141.8346,4.5217290868274995,9425.5038,3.582386757936483
กลาง,กรุงเทพมหานคร,33196.25,82564.3,3616.0359,2.487157434951237,10848.1077,3.0600959096303955
กลาง,นครปฐม,33180.3,296032.0,3113.8059,8.921920537186221,9341.4177,3.5519555024287164
ใต้,นครศรีธรรมราช,31827.9,260571.1,2949.3074,8.186876922448544,8847.9222,3.597217434845889
กลาง,สระบุรี,31786.1,238771.6,2978.5126,7.511824350895518,8935.5378,3.5572677002160966
ตะวันออก,ฉะเชิงเทรา,31272.4,87865.0,3230.0773,2.8096660313887005,9690.231899999999,3.227208628515898
ใต้,สุราษฎร์ธานี,30696.333333333332,196432.2,3162.0127,6.399207288601245,9486.038100000002,3.2359487712086383
กลาง,สิงห์บุรี,29901.7,157777.7,2967.3858,5.276546149550025,8902.1574,3.3589273539468083
ใต้,ชุมพร,29649.222222222223,114098.2,3196.0091,3.848269581739075,9588.027300000002,3.0923172509346335
กลาง,สมุทรปราการ,29311.625,136362.7,3256.0174,4.652171280166146,9768.0522,3.0007645741287092
ตะวันออก,ตราด,29287.0,152015.9,3099.4875,5.19055895107044,9298.462500000001,3.1496604949474167
ตะวันออกเฉียงเหนือ,ศรีสะเกษ,28973.3,282761.7,2618.6143,9.759388816600111,7855.842900000001,3.6881211053749556
ตะวันออกเฉียงเหนือ,หนองบัวลำภู,28814.9,269617.8,2690.4089,9.356888276551366,8071.226699999999,3.570076900454302
ตะวันตก,เพชรบุรี,28778.7,200667.3,3039.5401,6.97277152894328,9118.6203,3.156036664888876
กลาง,นนทบุรี,28486.0,130808.6,3327.1237,4.592031173207892,9981.3711,2.853916532569358
ตะวันออกเฉียงเหนือ,นครราชสีมา,28211.6,324573.3,2642.0802,11.504958953054771,7926.240599999999,3.5592661671158456
เหนือ,ลำพูน,27331.555555555555,203177.1,2972.5382,7.433792035254326,8917.6146,3.0648953539162314
กลาง,อ่างทอง,27288.0,133731.6,3079.2559,4.900747581354442,9237.7677,2.953960403225987
เหนือ,เพชรบูรณ์,26853.8,304514.3,2545.5762,11.339709836224296,7636.7286,3.5164009887689343
ตะวันออกเฉียงเหนือ,เลย,26784.555555555555,247043.2,2748.5241,9.223345128411482,8245.5723,3.2483561578321924
เหนือ,เชียงใหม่,26725.1,116331.1,2845.4215,4.352878006069202,8536.2645,3.130772248212318
ใต้,ตรัง,26622.0,153664.8,2980.2862,5.772098264593193,8940.8586,2.9775663827185457
ตะวันออกเฉียงเหนือ,ยโสธร,26460.333333333332,153362.0,2786.7873,5.795920938259785,8360.3619,3.16497463265715
ใต้,กระบี่,26338.11111111111,260287.9,2951.5969,9.8825575950355,8854.7907,2.9744476186332798
เหนือ,สุโขทัย,26336.3,233399.6,2622.064,8.862277540884635,7866.191999999999,3.3480367628962022
ตะวันตก,กาญจนบุรี,26072.2,201083.0,3122.9187,7.71254439594664,9368.7561,2.7828881146772515
กลาง,ชัยนาท,26058.1,251021.2,3134.3563,9.633135186371993,9403.0689,2.771233549080981
กลาง,สมุทรสงคราม,25931.2,111704.9,2995.752,4.307741253779231,8987.256,2.8853300718261505
